ltable_id,rtable_id,label
dblp_a_1756,acm_1418,FALSE
dblp_a_217,acm_2135,FALSE
dblp_a_2476,acm_1309,FALSE
dblp_a_610,acm_1595,TRUE
dblp_a_2183,acm_1630,FALSE
dblp_a_2580,acm_616,TRUE
dblp_a_420,acm_1866,FALSE
dblp_a_1541,acm_747,FALSE
dblp_a_1278,acm_1799,FALSE
dblp_a_1832,acm_910,FALSE
dblp_a_2232,acm_1122,FALSE
dblp_a_1061,acm_1284,TRUE
dblp_a_1496,acm_658,FALSE
dblp_a_1491,acm_1179,FALSE
dblp_a_1459,acm_1317,TRUE
dblp_a_2061,acm_1072,FALSE
dblp_a_2463,acm_1546,TRUE
dblp_a_198,acm_1213,FALSE
dblp_a_267,acm_1631,FALSE
dblp_a_516,acm_735,TRUE
dblp_a_1021,acm_225,FALSE
dblp_a_1938,acm_73,TRUE
dblp_a_1466,acm_990,FALSE
dblp_a_1118,acm_1915,FALSE
dblp_a_2038,acm_895,TRUE
dblp_a_162,acm_1511,FALSE
dblp_a_624,acm_920,TRUE
dblp_a_2227,acm_2091,TRUE
dblp_a_575,acm_650,FALSE
dblp_a_39,acm_323,FALSE
dblp_a_2224,acm_1051,FALSE
dblp_a_1610,acm_1915,FALSE
dblp_a_1798,acm_493,FALSE
dblp_a_373,acm_2239,FALSE
dblp_a_164,acm_1467,TRUE
dblp_a_1143,acm_1812,FALSE
dblp_a_2081,acm_1419,TRUE
dblp_a_924,acm_1026,FALSE
dblp_a_1189,acm_1969,TRUE
dblp_a_331,acm_1701,TRUE
dblp_a_2031,acm_1408,FALSE
dblp_a_1496,acm_1831,FALSE
dblp_a_135,acm_1441,FALSE
dblp_a_1656,acm_910,FALSE
dblp_a_1475,acm_1909,FALSE
dblp_a_1690,acm_1640,FALSE
dblp_a_424,acm_1813,TRUE
dblp_a_2562,acm_1409,FALSE
dblp_a_1086,acm_342,FALSE
dblp_a_2313,acm_1042,FALSE
dblp_a_817,acm_256,FALSE
dblp_a_385,acm_304,FALSE
dblp_a_1645,acm_927,FALSE
dblp_a_774,acm_826,TRUE
dblp_a_1717,acm_220,FALSE
dblp_a_1228,acm_1083,FALSE
dblp_a_644,acm_1479,FALSE
dblp_a_1160,acm_526,FALSE
dblp_a_2601,acm_226,FALSE
dblp_a_2416,acm_976,TRUE
dblp_a_2037,acm_817,FALSE
dblp_a_441,acm_1363,TRUE
dblp_a_644,acm_1254,FALSE
dblp_a_2185,acm_1946,FALSE
dblp_a_107,acm_1334,FALSE
dblp_a_2414,acm_2045,FALSE
dblp_a_229,acm_1609,FALSE
dblp_a_1985,acm_1630,FALSE
dblp_a_688,acm_1938,FALSE
dblp_a_175,acm_680,FALSE
dblp_a_341,acm_822,FALSE
dblp_a_1530,acm_26,FALSE
dblp_a_1511,acm_220,FALSE
dblp_a_690,acm_1906,FALSE
dblp_a_1927,acm_1408,FALSE
dblp_a_2162,acm_1225,FALSE
dblp_a_1115,acm_1425,TRUE
dblp_a_1380,acm_745,FALSE
dblp_a_507,acm_1063,FALSE
dblp_a_1829,acm_1915,FALSE
dblp_a_289,acm_1898,FALSE
dblp_a_20,acm_465,FALSE
dblp_a_387,acm_650,FALSE
dblp_a_1118,acm_1159,FALSE
dblp_a_1251,acm_403,FALSE
dblp_a_356,acm_1894,FALSE
dblp_a_21,acm_306,FALSE
dblp_a_1866,acm_1854,FALSE
dblp_a_557,acm_2055,FALSE
dblp_a_2364,acm_1883,FALSE
dblp_a_1106,acm_929,FALSE
dblp_a_942,acm_2133,FALSE
dblp_a_1972,acm_1945,FALSE
dblp_a_598,acm_1873,FALSE
dblp_a_1274,acm_950,FALSE
dblp_a_821,acm_94,FALSE
dblp_a_420,acm_152,FALSE
dblp_a_2371,acm_2101,FALSE
dblp_a_2562,acm_2119,FALSE
dblp_a_1777,acm_1599,FALSE
dblp_a_692,acm_1648,FALSE
dblp_a_507,acm_443,FALSE
dblp_a_1034,acm_1958,FALSE
dblp_a_1985,acm_1236,FALSE
dblp_a_1692,acm_638,FALSE
dblp_a_2309,acm_2179,TRUE
dblp_a_661,acm_1044,FALSE
dblp_a_1829,acm_879,FALSE
dblp_a_1049,acm_242,TRUE
dblp_a_156,acm_480,FALSE
dblp_a_690,acm_1046,FALSE
dblp_a_2125,acm_883,FALSE
dblp_a_2386,acm_1073,FALSE
dblp_a_1232,acm_242,FALSE
dblp_a_1721,acm_2049,FALSE
dblp_a_387,acm_334,FALSE
dblp_a_665,acm_2019,FALSE
dblp_a_1469,acm_2154,FALSE
dblp_a_40,acm_1558,TRUE
dblp_a_2386,acm_1848,FALSE
dblp_a_1103,acm_480,FALSE
dblp_a_2601,acm_526,FALSE
dblp_a_1610,acm_919,FALSE
dblp_a_289,acm_2250,FALSE
dblp_a_1792,acm_938,TRUE
dblp_a_1328,acm_517,TRUE
dblp_a_2546,acm_1909,FALSE
dblp_a_1439,acm_2247,FALSE
dblp_a_575,acm_927,FALSE
dblp_a_1910,acm_2016,FALSE
dblp_a_201,acm_342,FALSE
dblp_a_703,acm_2227,FALSE
dblp_a_267,acm_1648,FALSE
dblp_a_22,acm_189,FALSE
dblp_a_972,acm_1459,FALSE
dblp_a_1450,acm_1454,FALSE
dblp_a_11,acm_1898,FALSE
dblp_a_2302,acm_1317,FALSE
dblp_a_413,acm_1129,TRUE
dblp_a_2091,acm_562,FALSE
dblp_a_334,acm_816,FALSE
dblp_a_1624,acm_232,FALSE
dblp_a_1560,acm_1471,FALSE
dblp_a_644,acm_1317,FALSE
dblp_a_1989,acm_1215,FALSE
dblp_a_1894,acm_2054,FALSE
dblp_a_542,acm_582,FALSE
dblp_a_1669,acm_839,TRUE
dblp_a_1729,acm_1512,FALSE
dblp_a_871,acm_2081,TRUE
dblp_a_1507,acm_232,FALSE
dblp_a_719,acm_1632,FALSE
dblp_a_8,acm_1759,TRUE
dblp_a_487,acm_801,TRUE
dblp_a_963,acm_1495,FALSE
dblp_a_736,acm_557,FALSE
dblp_a_1531,acm_1371,FALSE
dblp_a_1749,acm_160,TRUE
dblp_a_157,acm_1822,TRUE
dblp_a_1164,acm_1925,FALSE
dblp_a_2095,acm_948,FALSE
dblp_a_414,acm_1169,FALSE
dblp_a_1105,acm_1854,FALSE
dblp_a_1830,acm_771,TRUE
dblp_a_291,acm_62,FALSE
dblp_a_667,acm_93,FALSE
dblp_a_2384,acm_365,FALSE
dblp_a_312,acm_1699,TRUE
dblp_a_1278,acm_2181,FALSE
dblp_a_198,acm_778,FALSE
dblp_a_1043,acm_328,FALSE
dblp_a_742,acm_1862,FALSE
dblp_a_933,acm_1442,FALSE
dblp_a_1596,acm_230,TRUE
dblp_a_1251,acm_1898,FALSE
dblp_a_1599,acm_1052,FALSE
dblp_a_397,acm_1035,FALSE
dblp_a_1849,acm_2266,FALSE
dblp_a_361,acm_884,FALSE
dblp_a_2131,acm_4,FALSE
dblp_a_33,acm_289,FALSE
dblp_a_1142,acm_1995,FALSE
dblp_a_1855,acm_445,FALSE
dblp_a_1874,acm_2171,FALSE
dblp_a_1753,acm_304,FALSE
dblp_a_1704,acm_709,FALSE
dblp_a_573,acm_1758,FALSE
dblp_a_759,acm_1897,TRUE
dblp_a_2051,acm_1108,FALSE
dblp_a_903,acm_1282,FALSE
dblp_a_895,acm_1390,FALSE
dblp_a_1468,acm_256,TRUE
dblp_a_1369,acm_2125,FALSE
dblp_a_596,acm_1954,FALSE
dblp_a_158,acm_1313,FALSE
dblp_a_1989,acm_2064,FALSE
dblp_a_1496,acm_1513,FALSE
dblp_a_1878,acm_1252,TRUE
